,Sen,word,pos,tag,predict
0,Sentence: 34000,U.S.-led,JJ,O,JJ
1,Sentence: 34000,coalition,NN,O,NN
2,Sentence: 34000,forces,NNS,O,NNS
3,Sentence: 34000,prevented,VBD,O,IN
4,Sentence: 34000,another,DT,O,DT
5,Sentence: 34000,attack,NN,O,NN
6,Sentence: 34000,by,IN,O,IN
7,Sentence: 34000,discovering,VBG,O,VBG
8,Sentence: 34000,a,DT,O,DT
9,Sentence: 34000,bomb,NN,O,NN
10,Sentence: 34000,near,IN,O,IN
11,Sentence: 34000,the,DT,O,DT
12,Sentence: 34000,eastern,JJ,O,JJ
13,Sentence: 34000,city,NN,O,NN
14,Sentence: 34000,of,IN,O,IN
15,Sentence: 34000,Jalalabad,NNP,B-geo,NNP
16,Sentence: 34000,.,.,O,.
17,Sentence: 34001,The,DT,O,DT
18,Sentence: 34001,press,NN,O,NN
19,Sentence: 34001,freedom,NN,O,NN
20,Sentence: 34001,group,NN,O,NN
21,Sentence: 34001,Reporters,VBZ,O,IN
22,Sentence: 34001,Without,IN,O,NNP
23,Sentence: 34001,Borders,NNS,O,NNP
24,Sentence: 34001,has,VBZ,O,VBZ
25,Sentence: 34001,condemned,VBN,O,VBN
26,Sentence: 34001,the,DT,O,DT
27,Sentence: 34001,decision,NN,O,NN
28,Sentence: 34001,by,IN,O,IN
29,Sentence: 34001,Venezuelan,JJ,B-gpe,JJ
30,Sentence: 34001,President,NNP,B-per,NNP
31,Sentence: 34001,Hugh,NNP,I-per,NNP
32,Sentence: 34001,Chavez,NNP,I-per,NNP
33,Sentence: 34001,to,TO,O,TO
34,Sentence: 34001,shut,VB,O,VB
35,Sentence: 34001,down,RP,O,RB
36,Sentence: 34001,one,CD,O,CD
37,Sentence: 34001,of,IN,O,IN
38,Sentence: 34001,the,DT,O,DT
39,Sentence: 34001,country,NN,O,NN
40,Sentence: 34001,'s,POS,O,POS
41,Sentence: 34001,oldest,JJS,O,JJ
42,Sentence: 34001,television,NN,O,NN
43,Sentence: 34001,stations,NNS,O,IN
44,Sentence: 34001,The,DT,O,DT
45,Sentence: 34001,group,NN,O,NN
46,Sentence: 34001,issued,VBD,O,VBD
47,Sentence: 34001,a,DT,O,DT
48,Sentence: 34001,statement,NN,O,NN
49,Sentence: 34001,Friday,NNP,B-tim,NNP
50,Sentence: 34001,calling,VBG,O,IN
51,Sentence: 34001,the,DT,O,DT
52,Sentence: 34001,move,NN,O,NN
53,Sentence: 34001,"""",``,O,``
54,Sentence: 34001,a,DT,O,DT
55,Sentence: 34001,serious,JJ,O,JJ
56,Sentence: 34001,attack,NN,O,NN
57,Sentence: 34001,against,IN,O,IN
58,Sentence: 34001,editorial,JJ,O,DT
59,Sentence: 34001,pluralism,NN,O,NN
60,Sentence: 34001,.,.,O,.
61,Sentence: 34001,"""",``,O,``
62,Sentence: 34002,Mr.,NNP,B-per,NNP
63,Sentence: 34002,Chavez,NNP,I-per,NNP
64,Sentence: 34002,announced,VBD,O,VBD
65,Sentence: 34002,Thursday,NNP,B-tim,NNP
66,Sentence: 34002,that,IN,O,IN
67,Sentence: 34002,his,PRP$,O,PRP$
68,Sentence: 34002,government,NN,O,NN
69,Sentence: 34002,will,MD,O,MD
70,Sentence: 34002,not,RB,O,RB
71,Sentence: 34002,renew,VB,O,IN
72,Sentence: 34002,the,DT,O,DT
73,Sentence: 34002,broadcast,NN,O,NN
74,Sentence: 34002,license,NN,O,NN
75,Sentence: 34002,for,IN,O,IN
76,Sentence: 34002,Radio,NNP,B-org,NNP
77,Sentence: 34002,Caracas,NNP,I-org,NNP
78,Sentence: 34002,Television,NNP,I-org,NNP
79,Sentence: 34002,",",",",O,","
80,Sentence: 34002,or,CC,O,CC
81,Sentence: 34002,RCTV,NNP,B-org,NN
82,Sentence: 34002,.,.,O,.
83,Sentence: 34003,The,DT,O,DT
84,Sentence: 34003,station,NN,O,NN
85,Sentence: 34003,is,VBZ,O,VBZ
86,Sentence: 34003,one,CD,O,CD
87,Sentence: 34003,of,IN,O,IN
88,Sentence: 34003,Venezuela,NNP,B-geo,NNP
89,Sentence: 34003,'s,POS,O,POS
90,Sentence: 34003,main,JJ,O,JJ
91,Sentence: 34003,private,JJ,O,JJ
92,Sentence: 34003,stations,NNS,O,NNS
93,Sentence: 34003,and,CC,O,CC
94,Sentence: 34003,has,VBZ,O,VBZ
95,Sentence: 34003,been,VBN,O,VBN
96,Sentence: 34003,critical,JJ,O,VBN
97,Sentence: 34003,of,IN,O,IN
98,Sentence: 34003,the,DT,O,DT
99,Sentence: 34003,president,NN,O,NN
100,Sentence: 34003,.,.,O,.
101,Sentence: 34004,Mr.,NNP,B-per,NNP
102,Sentence: 34004,Chavez,NNP,I-per,NNP
103,Sentence: 34004,accused,VBD,O,VBD
104,Sentence: 34004,RCTV,NNP,B-org,VBN
105,Sentence: 34004,of,IN,O,IN
106,Sentence: 34004,plotting,VBG,O,NN
107,Sentence: 34004,against,IN,O,IN
108,Sentence: 34004,him,PRP,O,PRP
109,Sentence: 34004,.,.,O,.
110,Sentence: 34005,He,PRP,O,PRP
111,Sentence: 34005,also,RB,O,RB
112,Sentence: 34005,said,VBD,O,VBD
113,Sentence: 34005,he,PRP,O,PRP
114,Sentence: 34005,will,MD,O,MD
115,Sentence: 34005,not,RB,O,RB
116,Sentence: 34005,tolerate,VB,O,IN
117,Sentence: 34005,any,DT,O,DT
118,Sentence: 34005,media,NNS,O,NNS
119,Sentence: 34005,outlets,NNS,O,IN
120,Sentence: 34005,that,WDT,O,DT
121,Sentence: 34005,support,VBP,O,NN
122,Sentence: 34005,efforts,NNS,O,NNS
123,Sentence: 34005,to,TO,O,TO
124,Sentence: 34005,remove,VB,O,VB
125,Sentence: 34005,him,PRP,O,PRP
126,Sentence: 34005,from,IN,O,IN
127,Sentence: 34005,power,NN,O,NN
128,Sentence: 34005,.,.,O,.
129,Sentence: 34006,The,DT,O,DT
130,Sentence: 34006,license,NN,O,NN
131,Sentence: 34006,for,IN,O,IN
132,Sentence: 34006,RCTV,NNP,B-org,DT
133,Sentence: 34006,expires,VBZ,O,NN
134,Sentence: 34006,in,IN,O,IN
135,Sentence: 34006,March,NNP,B-tim,NNP
136,Sentence: 34006,.,.,O,.
137,Sentence: 34007,Reporters,NNS,O,NNS
138,Sentence: 34007,Without,IN,O,IN
139,Sentence: 34007,Borders,NNS,O,NNP
140,Sentence: 34007,urged,VBD,O,NNP
141,Sentence: 34007,Venezuela,NNP,B-geo,NNP
142,Sentence: 34007,'s,POS,O,POS
