,Sentence: #,Word,POS,tag,-,Predict
0,Sentence: 20001,Some,DT,O,,DT
1,Sentence: 20001,fishing,NN,O,,NN
2,Sentence: 20001,takes,VBZ,O,,VBZ
3,Sentence: 20001,place,NN,O,,NN
4,Sentence: 20001,in,IN,O,,IN
5,Sentence: 20001,adjacent,JJ,O,,JJ
6,Sentence: 20001,waters,NNS,O,,NNS
7,Sentence: 20001,.,.,O,,.
8,Sentence: 20002,There,EX,O,,NNP
9,Sentence: 20002,is,VBZ,O,,VBZ
10,Sentence: 20002,a,DT,O,,DT
11,Sentence: 20002,potential,JJ,O,,JJ
12,Sentence: 20002,source,NN,O,,NN
13,Sentence: 20002,of,IN,O,,IN
14,Sentence: 20002,income,NN,O,,NN
15,Sentence: 20002,from,IN,O,,IN
16,Sentence: 20002,harvesting,VBG,O,,VBG
17,Sentence: 20002,finfish,NN,O,,NNP
18,Sentence: 20002,and,CC,O,,CC
19,Sentence: 20002,krill,NN,O,,NNP
20,Sentence: 20002,.,.,O,,.
21,Sentence: 20003,The,DT,O,,DT
22,Sentence: 20003,islands,NNS,O,,NNS
23,Sentence: 20003,receive,VBP,O,,VBP
24,Sentence: 20003,income,NN,O,,NN
25,Sentence: 20003,from,IN,O,,IN
26,Sentence: 20003,postage,JJ,O,,NN
27,Sentence: 20003,stamps,NNS,O,,NNS
28,Sentence: 20003,produced,VBN,O,,VBN
29,Sentence: 20003,in,IN,O,,IN
30,Sentence: 20003,the,DT,O,,DT
31,Sentence: 20003,UK,NNP,B-org,,NNP
32,Sentence: 20003,",",",",O,,","
33,Sentence: 20003,sale,NN,O,,NN
34,Sentence: 20003,of,IN,O,,IN
35,Sentence: 20003,fishing,NN,O,,NN
36,Sentence: 20003,licenses,NNS,O,,NNS
37,Sentence: 20003,",",",",O,,","
38,Sentence: 20003,and,CC,O,,CC
39,Sentence: 20003,harbor,NN,O,,NN
40,Sentence: 20003,and,CC,O,,CC
41,Sentence: 20003,landing,NN,O,,NN
42,Sentence: 20003,fees,NNS,O,,NNS
43,Sentence: 20003,from,IN,O,,IN
44,Sentence: 20003,tourist,NN,O,,NN
45,Sentence: 20003,vessels,NNS,O,,NNS
46,Sentence: 20003,.,.,O,,.
47,Sentence: 20004,Tourism,NNP,O,,NNS
48,Sentence: 20004,from,IN,O,,IN
49,Sentence: 20004,specialized,JJ,O,,CD
50,Sentence: 20004,cruise,NN,O,,JJ
51,Sentence: 20004,ships,NNS,O,,NNS
